"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","ELDLYPOP","TOT","PC_POP","A","2008",20.246,
"DEU","ELDLYPOP","TOT","PC_POP","A","2009",20.531,
"DEU","ELDLYPOP","TOT","PC_POP","A","2010",20.633,
"DEU","ELDLYPOP","TOT","PC_POP","A","2011",20.666,
"DEU","ELDLYPOP","TOT","PC_POP","A","2012",20.714,
"DEU","ELDLYPOP","TOT","PC_POP","A","2013",20.812,
"DEU","ELDLYPOP","TOT","PC_POP","A","2014",20.956,
"DEU","ELDLYPOP","TOT","PC_POP","A","2015",21.049,
"DEU","ELDLYPOP","TOT","PC_POP","A","2016",21.136,
"DEU","ELDLYPOP","TOT","PC_POP","A","2017",21.305,
"GRC","ELDLYPOP","TOT","PC_POP","A","2008",18.718,
"GRC","ELDLYPOP","TOT","PC_POP","A","2009",18.875,
"GRC","ELDLYPOP","TOT","PC_POP","A","2010",19.134,
"GRC","ELDLYPOP","TOT","PC_POP","A","2011",19.479,
"GRC","ELDLYPOP","TOT","PC_POP","A","2012",19.865,
"GRC","ELDLYPOP","TOT","PC_POP","A","2013",20.274,
"GRC","ELDLYPOP","TOT","PC_POP","A","2014",20.691,
"GRC","ELDLYPOP","TOT","PC_POP","A","2015",21.079,
"GRC","ELDLYPOP","TOT","PC_POP","A","2016",21.402,
"GRC","ELDLYPOP","TOT","PC_POP","A","2017",21.665,
"HUN","ELDLYPOP","TOT","PC_POP","A","2008",16.259,
"HUN","ELDLYPOP","TOT","PC_POP","A","2009",16.481,
"HUN","ELDLYPOP","TOT","PC_POP","A","2010",16.673,
"HUN","ELDLYPOP","TOT","PC_POP","A","2011",16.804,
"HUN","ELDLYPOP","TOT","PC_POP","A","2012",17.024,
"HUN","ELDLYPOP","TOT","PC_POP","A","2013",17.353,
"HUN","ELDLYPOP","TOT","PC_POP","A","2014",17.717,
"HUN","ELDLYPOP","TOT","PC_POP","A","2015",18.088,
"HUN","ELDLYPOP","TOT","PC_POP","A","2016",18.467,
"HUN","ELDLYPOP","TOT","PC_POP","A","2017",18.8,
"ISL","ELDLYPOP","TOT","PC_POP","A","2008",11.591,
"ISL","ELDLYPOP","TOT","PC_POP","A","2009",11.812,
"ISL","ELDLYPOP","TOT","PC_POP","A","2010",12.144,
"ISL","ELDLYPOP","TOT","PC_POP","A","2011",12.459,
"ISL","ELDLYPOP","TOT","PC_POP","A","2012",12.784,
"ISL","ELDLYPOP","TOT","PC_POP","A","2013",13.083,
"ISL","ELDLYPOP","TOT","PC_POP","A","2014",13.376,
"ISL","ELDLYPOP","TOT","PC_POP","A","2015",13.695,
"ISL","ELDLYPOP","TOT","PC_POP","A","2016",13.939,
"ISL","ELDLYPOP","TOT","PC_POP","A","2017",14.039,
"IRL","ELDLYPOP","TOT","PC_POP","A","2008",10.786,
"IRL","ELDLYPOP","TOT","PC_POP","A","2009",11.005,
"IRL","ELDLYPOP","TOT","PC_POP","A","2010",11.308,
"IRL","ELDLYPOP","TOT","PC_POP","A","2011",11.619,
"IRL","ELDLYPOP","TOT","PC_POP","A","2012",11.974,
"IRL","ELDLYPOP","TOT","PC_POP","A","2013",12.334,
"IRL","ELDLYPOP","TOT","PC_POP","A","2014",12.69,
"IRL","ELDLYPOP","TOT","PC_POP","A","2015",13.018,
"IRL","ELDLYPOP","TOT","PC_POP","A","2016",13.289,
"IRL","ELDLYPOP","TOT","PC_POP","A","2017",13.56,
"ITA","ELDLYPOP","TOT","PC_POP","A","2008",20.244,
"ITA","ELDLYPOP","TOT","PC_POP","A","2009",20.355,
"ITA","ELDLYPOP","TOT","PC_POP","A","2010",20.459,
"ITA","ELDLYPOP","TOT","PC_POP","A","2011",20.665,
"ITA","ELDLYPOP","TOT","PC_POP","A","2012",21.003,
"ITA","ELDLYPOP","TOT","PC_POP","A","2013",21.296,
"ITA","ELDLYPOP","TOT","PC_POP","A","2014",21.578,
"ITA","ELDLYPOP","TOT","PC_POP","A","2015",21.891,
"ITA","ELDLYPOP","TOT","PC_POP","A","2016",22.183,
"ITA","ELDLYPOP","TOT","PC_POP","A","2017",22.443,
"JPN","ELDLYPOP","TOT","PC_POP","A","2008",22.098,
"JPN","ELDLYPOP","TOT","PC_POP","A","2009",22.749,
"JPN","ELDLYPOP","TOT","PC_POP","A","2010",23.024,
"JPN","ELDLYPOP","TOT","PC_POP","A","2011",23.28,
"JPN","ELDLYPOP","TOT","PC_POP","A","2012",24.148,
"JPN","ELDLYPOP","TOT","PC_POP","A","2013",25.057,
"JPN","ELDLYPOP","TOT","PC_POP","A","2014",25.966,
"JPN","ELDLYPOP","TOT","PC_POP","A","2015",26.648,
"JPN","ELDLYPOP","TOT","PC_POP","A","2016",27.251,
"JPN","ELDLYPOP","TOT","PC_POP","A","2017",27.743,
"KOR","ELDLYPOP","TOT","PC_POP","A","2008",10.169,
"KOR","ELDLYPOP","TOT","PC_POP","A","2009",10.499,
"KOR","ELDLYPOP","TOT","PC_POP","A","2010",10.829,
"KOR","ELDLYPOP","TOT","PC_POP","A","2011",11.044,
"KOR","ELDLYPOP","TOT","PC_POP","A","2012",11.488,
"KOR","ELDLYPOP","TOT","PC_POP","A","2013",11.943,
"KOR","ELDLYPOP","TOT","PC_POP","A","2014",12.37,
"KOR","ELDLYPOP","TOT","PC_POP","A","2015",12.822,
"KOR","ELDLYPOP","TOT","PC_POP","A","2016",13.193,
"KOR","ELDLYPOP","TOT","PC_POP","A","2017",13.757,
"LUX","ELDLYPOP","TOT","PC_POP","A","2008",13.976,
"LUX","ELDLYPOP","TOT","PC_POP","A","2009",13.955,
"LUX","ELDLYPOP","TOT","PC_POP","A","2010",13.919,
"LUX","ELDLYPOP","TOT","PC_POP","A","2011",13.924,
"LUX","ELDLYPOP","TOT","PC_POP","A","2012",13.967,
"LUX","ELDLYPOP","TOT","PC_POP","A","2013",14.026,
"LUX","ELDLYPOP","TOT","PC_POP","A","2014",14.13,
"LUX","ELDLYPOP","TOT","PC_POP","A","2015",14.202,
"LUX","ELDLYPOP","TOT","PC_POP","A","2016",14.233,
"LUX","ELDLYPOP","TOT","PC_POP","A","2017",14.282,
"MEX","ELDLYPOP","TOT","PC_POP","A","2008",5.901,
"MEX","ELDLYPOP","TOT","PC_POP","A","2009",6.008,
"MEX","ELDLYPOP","TOT","PC_POP","A","2010",6.117,
"MEX","ELDLYPOP","TOT","PC_POP","A","2011",6.232,
"MEX","ELDLYPOP","TOT","PC_POP","A","2012",6.355,
"MEX","ELDLYPOP","TOT","PC_POP","A","2013",6.487,
"MEX","ELDLYPOP","TOT","PC_POP","A","2014",6.625,
"MEX","ELDLYPOP","TOT","PC_POP","A","2015",6.764,
"MEX","ELDLYPOP","TOT","PC_POP","A","2016",6.91,
"MEX","ELDLYPOP","TOT","PC_POP","A","2017",7.071,
"NLD","ELDLYPOP","TOT","PC_POP","A","2008",14.857,
"NLD","ELDLYPOP","TOT","PC_POP","A","2009",15.154,
"NLD","ELDLYPOP","TOT","PC_POP","A","2010",15.447,
"NLD","ELDLYPOP","TOT","PC_POP","A","2011",15.909,
"NLD","ELDLYPOP","TOT","PC_POP","A","2012",16.535,
"NLD","ELDLYPOP","TOT","PC_POP","A","2013",17.089,
"NLD","ELDLYPOP","TOT","PC_POP","A","2014",17.571,
"NLD","ELDLYPOP","TOT","PC_POP","A","2015",17.984,
"NLD","ELDLYPOP","TOT","PC_POP","A","2016",18.335,
"NLD","ELDLYPOP","TOT","PC_POP","A","2017",18.676,
"NZL","ELDLYPOP","TOT","PC_POP","A","2008",12.561,
"NZL","ELDLYPOP","TOT","PC_POP","A","2009",12.744,
"NZL","ELDLYPOP","TOT","PC_POP","A","2010",12.951,
"NZL","ELDLYPOP","TOT","PC_POP","A","2011",13.232,
"NZL","ELDLYPOP","TOT","PC_POP","A","2012",13.679,
"NZL","ELDLYPOP","TOT","PC_POP","A","2013",14.092,
"NZL","ELDLYPOP","TOT","PC_POP","A","2014",14.423,
"NZL","ELDLYPOP","TOT","PC_POP","A","2015",14.674,
"NZL","ELDLYPOP","TOT","PC_POP","A","2016",14.88,
"NZL","ELDLYPOP","TOT","PC_POP","A","2017",15.082,
"NOR","ELDLYPOP","TOT","PC_POP","A","2008",14.661,
"NOR","ELDLYPOP","TOT","PC_POP","A","2009",14.781,
"NOR","ELDLYPOP","TOT","PC_POP","A","2010",14.981,
"NOR","ELDLYPOP","TOT","PC_POP","A","2011",15.246,
"NOR","ELDLYPOP","TOT","PC_POP","A","2012",15.529,
"NOR","ELDLYPOP","TOT","PC_POP","A","2013",15.779,
"NOR","ELDLYPOP","TOT","PC_POP","A","2014",16.028,
"NOR","ELDLYPOP","TOT","PC_POP","A","2015",16.276,
"NOR","ELDLYPOP","TOT","PC_POP","A","2016",16.519,
"NOR","ELDLYPOP","TOT","PC_POP","A","2017",16.783,
"POL","ELDLYPOP","TOT","PC_POP","A","2008",13.468,
"POL","ELDLYPOP","TOT","PC_POP","A","2009",13.488,
"POL","ELDLYPOP","TOT","PC_POP","A","2010",13.445,
"POL","ELDLYPOP","TOT","PC_POP","A","2011",13.635,
"POL","ELDLYPOP","TOT","PC_POP","A","2012",14.023,
"POL","ELDLYPOP","TOT","PC_POP","A","2013",14.473,
"POL","ELDLYPOP","TOT","PC_POP","A","2014",14.999,
"POL","ELDLYPOP","TOT","PC_POP","A","2015",15.521,
"POL","ELDLYPOP","TOT","PC_POP","A","2016",16.1,
"POL","ELDLYPOP","TOT","PC_POP","A","2017",16.663,
"PRT","ELDLYPOP","TOT","PC_POP","A","2008",17.847,
"PRT","ELDLYPOP","TOT","PC_POP","A","2009",18.114,
"PRT","ELDLYPOP","TOT","PC_POP","A","2010",18.475,
"PRT","ELDLYPOP","TOT","PC_POP","A","2011",18.868,
"PRT","ELDLYPOP","TOT","PC_POP","A","2012",19.212,
"PRT","ELDLYPOP","TOT","PC_POP","A","2013",19.615,
"PRT","ELDLYPOP","TOT","PC_POP","A","2014",20.07,
"PRT","ELDLYPOP","TOT","PC_POP","A","2015",20.496,
"PRT","ELDLYPOP","TOT","PC_POP","A","2016",20.907,
"PRT","ELDLYPOP","TOT","PC_POP","A","2017",21.31,
"SVK","ELDLYPOP","TOT","PC_POP","A","2008",12.064,
"SVK","ELDLYPOP","TOT","PC_POP","A","2009",12.198,
"SVK","ELDLYPOP","TOT","PC_POP","A","2010",12.354,
"SVK","ELDLYPOP","TOT","PC_POP","A","2011",12.681,
"SVK","ELDLYPOP","TOT","PC_POP","A","2012",12.953,
"SVK","ELDLYPOP","TOT","PC_POP","A","2013",13.338,
"SVK","ELDLYPOP","TOT","PC_POP","A","2014",13.749,
"SVK","ELDLYPOP","TOT","PC_POP","A","2015",14.204,
"SVK","ELDLYPOP","TOT","PC_POP","A","2016",14.718,
"SVK","ELDLYPOP","TOT","PC_POP","A","2017",15.255,
"ESP","ELDLYPOP","TOT","PC_POP","A","2008",16.47,
"ESP","ELDLYPOP","TOT","PC_POP","A","2009",16.66,
"ESP","ELDLYPOP","TOT","PC_POP","A","2010",16.95,
"ESP","ELDLYPOP","TOT","PC_POP","A","2011",17.22,
"ESP","ELDLYPOP","TOT","PC_POP","A","2012",17.49,
"ESP","ELDLYPOP","TOT","PC_POP","A","2013",17.91,
"ESP","ELDLYPOP","TOT","PC_POP","A","2014",18.31,
"ESP","ELDLYPOP","TOT","PC_POP","A","2015",18.59,
"ESP","ELDLYPOP","TOT","PC_POP","A","2016",18.84,
"ESP","ELDLYPOP","TOT","PC_POP","A","2017",19.08,
"SWE","ELDLYPOP","TOT","PC_POP","A","2008",17.644,
"SWE","ELDLYPOP","TOT","PC_POP","A","2009",17.938,
"SWE","ELDLYPOP","TOT","PC_POP","A","2010",18.277,
"SWE","ELDLYPOP","TOT","PC_POP","A","2011",18.636,
"SWE","ELDLYPOP","TOT","PC_POP","A","2012",18.977,
"SWE","ELDLYPOP","TOT","PC_POP","A","2013",19.273,
"SWE","ELDLYPOP","TOT","PC_POP","A","2014",19.519,
"SWE","ELDLYPOP","TOT","PC_POP","A","2015",19.696,
"SWE","ELDLYPOP","TOT","PC_POP","A","2016",19.773,
"SWE","ELDLYPOP","TOT","PC_POP","A","2017",19.801,
"CHE","ELDLYPOP","TOT","PC_POP","A","2008",16.475,
"CHE","ELDLYPOP","TOT","PC_POP","A","2009",16.681,
"CHE","ELDLYPOP","TOT","PC_POP","A","2010",16.922,
"CHE","ELDLYPOP","TOT","PC_POP","A","2011",17.029,
"CHE","ELDLYPOP","TOT","PC_POP","A","2012",17.28,
"CHE","ELDLYPOP","TOT","PC_POP","A","2013",17.501,
"CHE","ELDLYPOP","TOT","PC_POP","A","2014",17.697,
"CHE","ELDLYPOP","TOT","PC_POP","A","2015",17.873,
"CHE","ELDLYPOP","TOT","PC_POP","A","2016",18.022,
"CHE","ELDLYPOP","TOT","PC_POP","A","2017",18.182,
"TUR","ELDLYPOP","TOT","PC_POP","A","2008",6.962,
"TUR","ELDLYPOP","TOT","PC_POP","A","2009",6.925,
"TUR","ELDLYPOP","TOT","PC_POP","A","2010",7.117,
"TUR","ELDLYPOP","TOT","PC_POP","A","2011",7.288,
"TUR","ELDLYPOP","TOT","PC_POP","A","2012",7.431,
"TUR","ELDLYPOP","TOT","PC_POP","A","2013",7.6,
"TUR","ELDLYPOP","TOT","PC_POP","A","2014",7.829,
"TUR","ELDLYPOP","TOT","PC_POP","A","2015",8.111,
"TUR","ELDLYPOP","TOT","PC_POP","A","2016",8.292,
"TUR","ELDLYPOP","TOT","PC_POP","A","2017",8.434,
"GBR","ELDLYPOP","TOT","PC_POP","A","2008",16.003,
"GBR","ELDLYPOP","TOT","PC_POP","A","2009",16.177,
"GBR","ELDLYPOP","TOT","PC_POP","A","2010",16.352,
"GBR","ELDLYPOP","TOT","PC_POP","A","2011",16.525,
"GBR","ELDLYPOP","TOT","PC_POP","A","2012",17.017,
"GBR","ELDLYPOP","TOT","PC_POP","A","2013",17.365,
"GBR","ELDLYPOP","TOT","PC_POP","A","2014",17.659,
"GBR","ELDLYPOP","TOT","PC_POP","A","2015",17.833,
"GBR","ELDLYPOP","TOT","PC_POP","A","2016",17.996,
"GBR","ELDLYPOP","TOT","PC_POP","A","2017",18.155,
"USA","ELDLYPOP","TOT","PC_POP","A","2008",12.752,
"USA","ELDLYPOP","TOT","PC_POP","A","2009",12.916,
"USA","ELDLYPOP","TOT","PC_POP","A","2010",13.086,
"USA","ELDLYPOP","TOT","PC_POP","A","2011",13.272,
"USA","ELDLYPOP","TOT","PC_POP","A","2012",13.743,
"USA","ELDLYPOP","TOT","PC_POP","A","2013",14.124,
"USA","ELDLYPOP","TOT","PC_POP","A","2014",14.501,
"USA","ELDLYPOP","TOT","PC_POP","A","2015",14.862,
"USA","ELDLYPOP","TOT","PC_POP","A","2016",15.236,
"USA","ELDLYPOP","TOT","PC_POP","A","2017",15.622,
"BRA","ELDLYPOP","TOT","PC_POP","A","2008",6.917,
"BRA","ELDLYPOP","TOT","PC_POP","A","2009",7.111,
"BRA","ELDLYPOP","TOT","PC_POP","A","2010",7.323,
"BRA","ELDLYPOP","TOT","PC_POP","A","2011",7.508,
"BRA","ELDLYPOP","TOT","PC_POP","A","2012",7.712,
"BRA","ELDLYPOP","TOT","PC_POP","A","2013",7.934,
"BRA","ELDLYPOP","TOT","PC_POP","A","2014",8.167,
"BRA","ELDLYPOP","TOT","PC_POP","A","2015",8.41,
"BRA","ELDLYPOP","TOT","PC_POP","A","2016",8.668,
"BRA","ELDLYPOP","TOT","PC_POP","A","2017",8.94,
"CHL","ELDLYPOP","TOT","PC_POP","A","2008",8.98,
"CHL","ELDLYPOP","TOT","PC_POP","A","2009",9.169,
"CHL","ELDLYPOP","TOT","PC_POP","A","2010",9.371,
"CHL","ELDLYPOP","TOT","PC_POP","A","2011",9.585,
"CHL","ELDLYPOP","TOT","PC_POP","A","2012",9.819,
"CHL","ELDLYPOP","TOT","PC_POP","A","2013",10.075,
"CHL","ELDLYPOP","TOT","PC_POP","A","2014",10.329,
"CHL","ELDLYPOP","TOT","PC_POP","A","2015",10.608,
"CHL","ELDLYPOP","TOT","PC_POP","A","2016",10.93,
"CHL","ELDLYPOP","TOT","PC_POP","A","2017",11.243,
"COL","ELDLYPOP","TOT","PC_POP","A","2008",6.448,
"COL","ELDLYPOP","TOT","PC_POP","A","2009",6.576,
"COL","ELDLYPOP","TOT","PC_POP","A","2010",6.725,
"COL","ELDLYPOP","TOT","PC_POP","A","2011",6.853,
"COL","ELDLYPOP","TOT","PC_POP","A","2012",6.997,
"COL","ELDLYPOP","TOT","PC_POP","A","2013",7.152,
"COL","ELDLYPOP","TOT","PC_POP","A","2014",7.316,
"COL","ELDLYPOP","TOT","PC_POP","A","2015",7.486,
"COL","ELDLYPOP","TOT","PC_POP","A","2016",7.675,
"COL","ELDLYPOP","TOT","PC_POP","A","2017",7.864,
"EST","ELDLYPOP","TOT","PC_POP","A","2008",17.443,
"EST","ELDLYPOP","TOT","PC_POP","A","2009",17.432,
"EST","ELDLYPOP","TOT","PC_POP","A","2010",17.442,
"EST","ELDLYPOP","TOT","PC_POP","A","2011",17.577,
"EST","ELDLYPOP","TOT","PC_POP","A","2012",17.868,
"EST","ELDLYPOP","TOT","PC_POP","A","2013",18.203,
"EST","ELDLYPOP","TOT","PC_POP","A","2014",18.567,
"EST","ELDLYPOP","TOT","PC_POP","A","2015",18.891,
"EST","ELDLYPOP","TOT","PC_POP","A","2016",19.182,
"EST","ELDLYPOP","TOT","PC_POP","A","2017",19.465,
"ISR","ELDLYPOP","TOT","PC_POP","A","2008",9.738,
"ISR","ELDLYPOP","TOT","PC_POP","A","2009",9.807,
"ISR","ELDLYPOP","TOT","PC_POP","A","2010",9.87,
"ISR","ELDLYPOP","TOT","PC_POP","A","2011",10.095,
"ISR","ELDLYPOP","TOT","PC_POP","A","2012",10.292,
"ISR","ELDLYPOP","TOT","PC_POP","A","2013",10.562,
"ISR","ELDLYPOP","TOT","PC_POP","A","2014",10.746,
"ISR","ELDLYPOP","TOT","PC_POP","A","2015",10.972,
"ISR","ELDLYPOP","TOT","PC_POP","A","2016",11.218,
"ISR","ELDLYPOP","TOT","PC_POP","A","2017",11.456,
"RUS","ELDLYPOP","TOT","PC_POP","A","2008",13.556,
"RUS","ELDLYPOP","TOT","PC_POP","A","2009",13.103,
"RUS","ELDLYPOP","TOT","PC_POP","A","2010",12.79,
"RUS","ELDLYPOP","TOT","PC_POP","A","2011",12.734,
"RUS","ELDLYPOP","TOT","PC_POP","A","2012",12.859,
"RUS","ELDLYPOP","TOT","PC_POP","A","2013",13.033,
"RUS","ELDLYPOP","TOT","PC_POP","A","2014",13.315,
"RUS","ELDLYPOP","TOT","PC_POP","A","2015",13.679,
"RUS","ELDLYPOP","TOT","PC_POP","A","2016",14.017,
"RUS","ELDLYPOP","TOT","PC_POP","A","2017",14.262,
"SVN","ELDLYPOP","TOT","PC_POP","A","2008",16.32,
"SVN","ELDLYPOP","TOT","PC_POP","A","2009",16.49,
"SVN","ELDLYPOP","TOT","PC_POP","A","2010",16.55,
"SVN","ELDLYPOP","TOT","PC_POP","A","2011",16.62,
"SVN","ELDLYPOP","TOT","PC_POP","A","2012",16.95,
"SVN","ELDLYPOP","TOT","PC_POP","A","2013",17.28,
"SVN","ELDLYPOP","TOT","PC_POP","A","2014",17.67,
"SVN","ELDLYPOP","TOT","PC_POP","A","2015",18.15,
"SVN","ELDLYPOP","TOT","PC_POP","A","2016",18.67,
"SVN","ELDLYPOP","TOT","PC_POP","A","2017",19.14,
"OECD","ELDLYPOP","TOT","PC_POP","A","2008",14.374,
"OECD","ELDLYPOP","TOT","PC_POP","A","2009",14.563,
"OECD","ELDLYPOP","TOT","PC_POP","A","2010",14.724,
"OECD","ELDLYPOP","TOT","PC_POP","A","2011",14.898,
"OECD","ELDLYPOP","TOT","PC_POP","A","2012",15.271,
"OECD","ELDLYPOP","TOT","PC_POP","A","2013",15.632,
"OECD","ELDLYPOP","TOT","PC_POP","A","2014",15.99,
"OECD","ELDLYPOP","TOT","PC_POP","A","2015",16.312,
"OECD","ELDLYPOP","TOT","PC_POP","A","2016",16.613,
"OECD","ELDLYPOP","TOT","PC_POP","A","2017",16.911,
"EU28","ELDLYPOP","TOT","PC_POP","A","2008",17.177,
"EU28","ELDLYPOP","TOT","PC_POP","A","2009",17.359,
"EU28","ELDLYPOP","TOT","PC_POP","A","2010",17.507,
"EU28","ELDLYPOP","TOT","PC_POP","A","2011",17.704,
"EU28","ELDLYPOP","TOT","PC_POP","A","2012",18.024,
"EU28","ELDLYPOP","TOT","PC_POP","A","2013",18.36,
"EU28","ELDLYPOP","TOT","PC_POP","A","2014",18.698,
"EU28","ELDLYPOP","TOT","PC_POP","A","2015",19.003,
"EU28","ELDLYPOP","TOT","PC_POP","A","2016",19.29,
"EU28","ELDLYPOP","TOT","PC_POP","A","2017",19.575,
"LVA","ELDLYPOP","TOT","PC_POP","A","2008",17.709,
"LVA","ELDLYPOP","TOT","PC_POP","A","2009",17.968,
"LVA","ELDLYPOP","TOT","PC_POP","A","2010",18.243,
"LVA","ELDLYPOP","TOT","PC_POP","A","2011",18.466,
"LVA","ELDLYPOP","TOT","PC_POP","A","2012",18.663,
"LVA","ELDLYPOP","TOT","PC_POP","A","2013",18.915,
"LVA","ELDLYPOP","TOT","PC_POP","A","2014",19.227,
"LVA","ELDLYPOP","TOT","PC_POP","A","2015",19.511,
"LVA","ELDLYPOP","TOT","PC_POP","A","2016",19.762,
"LVA","ELDLYPOP","TOT","PC_POP","A","2017",19.996,
"ARG","ELDLYPOP","TOT","PC_POP","A","2008",10.062,
"ARG","ELDLYPOP","TOT","PC_POP","A","2009",10.109,
"ARG","ELDLYPOP","TOT","PC_POP","A","2010",10.158,
"ARG","ELDLYPOP","TOT","PC_POP","A","2011",10.248,
"ARG","ELDLYPOP","TOT","PC_POP","A","2012",10.355,
"ARG","ELDLYPOP","TOT","PC_POP","A","2013",10.475,
"ARG","ELDLYPOP","TOT","PC_POP","A","2014",10.606,
"ARG","ELDLYPOP","TOT","PC_POP","A","2015",10.745,
"ARG","ELDLYPOP","TOT","PC_POP","A","2016",10.891,
